row_id,run_id,ip,window_start,label,scenario
57,run1,203.0.113.180,2026-09-07T06:15:00+00:00,1,slow_brute_force
58,run1,203.0.113.181,2026-09-07T06:15:00+00:00,1,low_and_slow_enumeration
59,run1,203.0.113.19,2026-09-07T06:15:00+00:00,0,benign
60,run1,203.0.113.20,2026-09-07T06:15:00+00:00,0,benign
61,run1,203.0.113.200,2026-09-07T06:15:00+00:00,1,credential_stuffing
62,run1,203.0.113.201,2026-09-07T06:15:00+00:00,1,api_flood
63,run1,203.0.113.202,2026-09-07T06:15:00+00:00,1,enumeration
64,run1,203.0.113.203,2026-09-07T06:15:00+00:00,1,sqli_probe
65,run1,203.0.113.204,2026-09-07T06:15:00+00:00,1,path_traversal
66,run1,203.0.113.21,2026-09-07T06:15:00+00:00,0,benign
67,run1,203.0.113.22,2026-09-07T06:15:00+00:00,0,benign
68,run1,203.0.113.23,2026-09-07T06:15:00+00:00,0,benign
69,run1,203.0.113.26,2026-09-07T06:15:00+00:00,0,benign
70,run1,203.0.113.27,2026-09-07T06:15:00+00:00,0,benign
71,run1,203.0.113.10,2026-09-07T06:16:00+00:00,0,benign
72,run1,203.0.113.11,2026-09-07T06:16:00+00:00,0,benign
73,run1,203.0.113.12,2026-09-07T06:16:00+00:00,0,benign
74,run1,203.0.113.13,2026-09-07T06:16:00+00:00,0,benign
75,run1,203.0.113.14,2026-09-07T06:16:00+00:00,0,benign
76,run1,203.0.113.17,2026-09-07T06:16:00+00:00,0,benign
77,run1,203.0.113.18,2026-09-07T06:16:00+00:00,0,benign
78,run1,203.0.113.180,2026-09-07T06:16:00+00:00,1,slow_brute_force
79,run1,203.0.113.19,2026-09-07T06:16:00+00:00,0,benign
80,run1,203.0.113.200,2026-09-07T06:16:00+00:00,1,credential_stuffing
81,run1,203.0.113.201,2026-09-07T06:16:00+00:00,1,api_flood
82,run1,203.0.113.202,2026-09-07T06:16:00+00:00,1,enumeration
83,run1,203.0.113.203,2026-09-07T06:16:00+00:00,1,sqli_probe
84,run1,203.0.113.204,2026-09-07T06:16:00+00:00,1,path_traversal
85,run1,192.168.65.1,2026-09-07T06:19:00+00:00,0,benign
